Description	Lien	NomScript	NomCouche
Code national de l’obstacle à l’écoulement	http://id.eaufrance.fr/ddd/OBS/1.2/CdObstEcoul	CdObstEcoul	CdObstEcou
Coordonnée X du point caractéristique de l’ouvrage	http://id.eaufrance.fr/ddd/OBS/1.2/CoordXPointCarOuvrage	CoordXPointCarOuvrage	CoordXPoin
Coordonnée Y du point caractéristique de l’ouvrage	http://id.eaufrance.fr/ddd/OBS/1.2/CoordYPointCarOuvrage	CoordYPointCarOuvrage	CoordYPoin
Nom principal de l’obstacle à l’écoulement	http://id.eaufrance.fr/ddd/OBS/1.2/NomPrincipalObstEcoul	NomPrincipalObstEcoul	NomPrincip
Nom principal de l’entité hydrographique	http://id.eaufrance.fr/ddd/ETH/2002-1/NomEntiteHydrographique	NomEntiteHydrographique	NomEntiteH
Statut de validation d’un obstacle à l’écoulement	http://id.eaufrance.fr/ddd/OBS/1.2/StObstEcoul	StObstEcoul	StObstEcou
Libellé de l’état d’un ouvrage	http://id.eaufrance.fr/ddd/OBS/1.2/LbEtOuvrage	LbEtOuvrage	LbEtOuvrag
Type d’ouvrage	http://id.eaufrance.fr/ddd/ORG/1.0/TypeOuvrage	CdTypeOuvrage	CdTypeOuvr
Type d’élément mobile d’un seuil	http://id.eaufrance.fr/ddd/OBS/1.2/TypeElMobSeuil	CdTypeElMobSeuil	
Hauteur de chute estimée à l’étiage	http://id.eaufrance.fr/ddd/OBS/1.2/HautChutEtObstEcoul	HautChutEtObstEcoul	HautChutEt
Code de la hauteur de chute à l’étiage par classe	http://id.eaufrance.fr/ddd/OBS/1.2/HautChutClObstEcoul	CdHautChutClObstEcoul	CdHautChut
Usage de l’obstacle à l’écoulement	http://id.eaufrance.fr/ddd/OBS/1.2/UsageObstEcoul	CdUsageObstEcoul	
Type de dispositif de franchissement piscicole	http://id.eaufrance.fr/ddd/OBS/1.2/TypeDispFranchPiscicole	CdTypeDispFranchPiscicole	
Type d’organe de franchissement de navigation	http://id.eaufrance.fr/ddd/OBS/1.2/TypeDispFranchNavig	CdTypeDispFranchNavig	
